0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,yield_strength_1,plastic_strain_1,yield_strength_2,plastic_strain_2,fibre_density (kg/m^3),fibre_lineardensity (kg/m),fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,S_0,E_0,S_1,E_1,S_2,E_2,S_3,E_3,S_4,E_4,S_5,E_5,S_6,E_6,S_7,E_7,S_8,E_8,S_9,E_9,S_10,E_10,S_11,E_11,S_12,E_12,S_13,E_13,S_14,E_14,S_15,E_15,S_16,E_16,S_17,E_17,S_18,E_18,S_19,E_19,S_20,E_20
1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0.930718299,0.299814785,1.826908781,20000,0.4,3,0,600,0.3,2550,0.000558858,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,882673.82,2.46E-05,1765347.65,4.93E-05,2647911.18,7.39E-05,3503549.42,9.85E-05,4174582.86,0.0001232,4662275.58,0.0001478,5086640.3,0.0001724,5480859.68,0.0001971,5861974.82,0.0002217,6236527.4,0.0002463,6606941.94,0.0002709,6974568.13,0.0002956,7340103.72,0.0003202,7703982.24,0.0003448,8066533.64,0.0003695,8427993.6,0.0003941,8788534.74,0.0004187,9148299.12,0.0004434,9507407.58,0.000468,9865949.73,0.0004926
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0.943024207,0.169795009,1.561725422,20000,0.4,3,0,600,0.3,2550,0.000320684,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,1003451.18,2.50E-05,2006902.37,4.99E-05,3010050.49,7.49E-05,3968228.72,9.99E-05,4696052.01,0.0001249,5302285.21,0.0001498,5857173.62,0.0001748,6389355.1,0.0001998,6912141.01,0.0002248,7429591.82,0.0002497,7943506.01,0.0002747,8454820.86,0.0002997,8964178.17,0.0003246,9471982.46,0.0003496,9978525.83,0.0003746,10484036.59,0.0003996,10988690.28,0.0004245,11492630.21,0.0004495,11995967.44,0.0004745,12498790.43,0.0004994
1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0.377985232,0.288842768,0.573645803,20000,0.4,3,0,600,0.3,2550,0.000218659,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,1016325.17,2.44E-05,2032650.34,4.88E-05,3047368.62,7.32E-05,3991882.63,9.76E-05,4759928.38,0.000122,5387592.46,0.0001464,5953724.06,0.0001708,6497271.83,0.0001952,7029719.15,0.0002196,7555550.77,0.0002441,8076864.19,0.0002685,8594864.82,0.0002929,9110360.28,0.0003173,9623856.98,0.0003417,10135714.84,0.0003661,10646218.61,0.0003905,11155598.73,0.0004149,11664035.17,0.0004393,12171663.97,0.0004637,12678593.79,0.0004881
0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.253313587,0.233449261,0.416160698,20000,0.4,3,0,600,0.3,2550,0.000118435,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,981551.24,2.40E-05,1963102.48,4.81E-05,2943458.79,7.21E-05,3858734.89,9.61E-05,4605732.78,0.0001201,5219188.5,0.0001442,5762834.33,0.0001682,6279455.07,0.0001922,6784367.84,0.0002163,7282739.33,0.0002403,7776879.4,0.0002643,8267928.72,0.0002884,8756577.41,0.0003124,9243313.44,0.0003364,9728495.22,0.0003604,10212384.73,0.0003845,10695170.07,0.0004085,11177012.19,0.0004325,11658050.51,0.0004566,12138390.77,0.0004806
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0.927315569,0.309431686,1.573748879,20000,0.4,3,0,600,0.3,2550,0.000574675,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,979618.4,2.48E-05,1959236.81,4.96E-05,2938673.94,7.43E-05,3862964.66,9.91E-05,4575458.61,0.0001239,5148161.05,0.0001487,5665165.98,0.0001735,6158972.84,0.0001983,6641822.46,0.000223,7118860.25,0.0002478,7592239.03,0.0002726,8062980.34,0.0002974,8531752.51,0.0003222,8999020.76,0.0003469,9465097.96,0.0003717,9930201.42,0.0003965,10394479.73,0.0004213,10858075.53,0.0004461,11321092.61,0.0004709,11783613.86,0.0004956
1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0.307343421,0.350492242,0.59624166,20000,0.4,3,0,600,0.3,2550,0.000215741,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,885803.15,2.35E-05,1771606.3,4.70E-05,2657040.51,7.04E-05,3514224.61,9.39E-05,4232001.92,0.0001174,4774011.55,0.0001409,5234294.15,0.0001644,5663382.12,0.0001878,6078427.74,0.0002113,6485787.93,0.0002348,6888158.04,0.0002583,7286996.68,0.0002818,7683168.67,0.0003052,8077258.23,0.0003287,8469650.36,0.0003522,8860626.94,0.0003757,9250413.31,0.0003992,9639184.36,0.0004226,10027087.11,0.0004461,10414243.38,0.0004696
0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0.6040161,0.103383216,0.909000608,20000,0.4,3,0,600,0.3,2550,0.000125063,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,997020.15,2.42E-05,1994040.3,4.84E-05,2990719.39,7.26E-05,3956901.75,9.68E-05,4694778.08,0.000121,5314005.66,0.0001452,5883933.12,0.0001694,6430428.44,0.0001936,6966251.73,0.0002178,7496430.9,0.000242,8022921.96,0.0002662,8546803.06,0.0002904,9068714.1,0.0003146,9589086.06,0.0003388,10108230.42,0.000363,10626395.81,0.0003872,11143756.34,0.0004114,11660432.95,0.0004356,12176523.32,0.0004598,12692121.31,0.000484
1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.715819492,0.124761894,1.311014376,20000,0.4,3,0,600,0.3,2550,0.000178861,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,944944.3,2.44E-05,1889888.6,4.88E-05,2834791.57,7.32E-05,3756411.67,9.76E-05,4490604.78,0.000122,5065008.31,0.0001465,5579149,0.0001709,6070804.25,0.0001953,6552330.62,0.0002197,7028159.49,0.0002441,7500282.84,0.0002685,7969735.02,0.0002929,8437132.41,0.0003173,8902953,0.0003417,9367531.93,0.0003661,9831092.07,0.0003905,10293810.74,0.0004149,10755817.99,0.0004394,11217226.08,0.0004638,11678119.5,0.0004882
1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0.452901176,0.288632656,0.726371122,20000,0.4,3,0,600,0.3,2550,0.000261806,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,1012349.17,2.48E-05,2024698.33,4.96E-05,3036052.46,7.43E-05,3974420.1,9.91E-05,4737623.88,0.0001239,5355685.9,0.0001487,5912316.14,0.0001735,6446974.75,0.0001982,6971075.3,0.000223,7489158.59,0.0002478,8003319.42,0.0002726,8514663.49,0.0002974,9023876.78,0.0003221,9531404.19,0.0003469,10037571.78,0.0003717,10542623.25,0.0003965,11046742.45,0.0004213,11550076.81,0.0004461,12052744.27,0.0004708,12554841.1,0.0004956
1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0.560498914,0.237761389,0.939849908,20000,0.4,3,0,600,0.3,2550,0.000266899,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,970268.58,2.45E-05,1940537.17,4.89E-05,2910632.65,7.34E-05,3821965.48,9.79E-05,4536562.51,0.0001224,5119617.91,0.0001468,5636038.58,0.0001713,6125280.89,0.0001958,6603902.63,0.0002202,7076841.82,0.0002447,7546100.88,0.0002692,8012758.7,0.0002937,8477493.86,0.0003181,8940725.39,0.0003426,9402755.97,0.0003671,9863807.74,0.0003916,10324058.06,0.000416,10783634.67,0.0004405,11242635.23,0.000465,11701145.15,0.0004894
